Case,Type,Delay_CCCP,Delay_ES,Time_CCCP(s),Time_ES(s)
1,g2>g1,0.5525344131379532,0.5525348414965153,0.7082037925720215,3140.4804496765137
2,g2>g1,0.5450048810127127,0.5450050887783675,0.7343223094940186,3672.143322944641
3,g2>g1,0.5361496642964405,0.5361555304266469,0.5992422103881836,3609.657945394516
4,g2>g1,0.5580708285740865,0.5580711092264158,0.6302168369293213,3482.7450683116913
5,g2>g1,0.5864952540842342,0.5864866316059894,0.9301609992980957,3472.193143606186
6,g2>g1,0.5327251709794907,0.5327269650115809,0.8587436676025391,3771.7283141613007
7,g2>g1,0.5698763209608052,0.5698767663751199,0.6987395286560059,3697.1523826122284
8,g2>g1,0.5589280621238606,0.5589017124251767,0.6414828300476074,3446.1294445991516
9,g2>g1,0.547157936146783,0.547161543278531,0.7583262920379639,3271.521448135376
10,g2>g1,0.5668207399882206,0.5668214503305494,0.5813915729522705,3434.023030757904
